comparison,lwr,upr,p adj
adeIJK-EtOH-adeABC-BZK,1.256806187,6.557462601,4.52E-05
ttg2ABC-EtOH-adeABC-BZK,1.360503971,6.661160384,2.34E-05
znuABC-EtOH-adeABC-BZK,0.946598738,6.247255151,0.000307584
adeABC-GLU-adeABC-BZK,1.108025,6.408681413,0.000114648
adeIJK-GLU-adeABC-BZK,1.089621953,6.390278366,0.000128457
ttg2ABC-GLU-adeABC-BZK,1.522150486,6.822806899,8.27E-06
znuABC-GLU-adeABC-BZK,0.948671457,6.24932787,0.00030376
adeABC-HClO-adeABC-BZK,1.170164381,6.470820795,7.79E-05
adeIJK-HClO-adeABC-BZK,1.000232173,6.300888586,0.000222209
ttg2ABC-HClO-adeABC-BZK,1.526819403,6.827475816,8.02E-06
znuABC-HClO-adeABC-BZK,1.221918127,6.522574541,5.64E-05
adeABC-PVPi-adeABC-BZK,1.11700728,6.417663694,0.000108446
adeIJK-PVPi-adeABC-BZK,1.207490771,6.508147184,6.17E-05
ttg2ABC-PVPi-adeABC-BZK,1.468855287,6.769511701,1.17E-05
znuABC-PVPi-adeABC-BZK,0.893648971,6.194305385,0.000422786
adeABC-TRC-adeABC-BZK,0.093209768,5.393866181,0.032536587
znuABC-TRC-adeABC-BZK,0.276699056,5.577355469,0.013212226
adeABC-CHL-adeIJK-BZK,-5.999173463,-0.698517049,0.001328999
znuABC-CHL-adeIJK-BZK,1.415857384,6.716513797,1.64E-05
ttg2ABC-CTAB-adeIJK-BZK,0.597197789,5.897854203,0.002364275
adeABC-CHL-ttg2ABC-BZK,-7.306034235,-2.005377822,3.39E-07
adeIJK-CHL-ttg2ABC-BZK,-6.16220823,-0.861551816,0.000511963
znuABC-CHL-ttg2ABC-BZK,0.108996611,5.409653025,0.030193174
adeABC-CHL-znuABC-BZK,-7.37198796,-2.071331547,2.18E-07
adeIJK-CHL-znuABC-BZK,-6.228161955,-0.927505542,0.000345086
znuABC-CHL-znuABC-BZK,0.043042886,5.343699299,0.041105792
ttg2ABC-CHL-adeABC-CHL,2.571599198,7.872255612,7.24E-09
znuABC-CHL-adeABC-CHL,4.76470264,10.06535905,0
adeABC-CRL-adeABC-CHL,2.424593727,7.72525014,1.98E-08
adeIJK-CRL-adeABC-CHL,0.145846226,5.44650264,0.02530514
ttg2ABC-CRL-adeABC-CHL,1.814804117,7.11546053,1.21E-06
znuABC-CRL-adeABC-CHL,2.230288583,7.530944996,7.43E-08
adeABC-CTAB-adeABC-CHL,2.292712894,7.593369307,4.86E-08
adeIJK-CTAB-adeABC-CHL,2.740658346,8.04131476,2.26E-09
ttg2ABC-CTAB-adeABC-CHL,3.946043045,9.246699459,0
znuABC-CTAB-adeABC-CHL,2.983046923,8.283703337,4.19E-10
adeABC-EtOH-adeABC-CHL,2.905768554,8.206424967,7.20E-10
adeIJK-EtOH-adeABC-CHL,2.843311433,8.143967847,1.11E-09
ttg2ABC-EtOH-adeABC-CHL,2.947009217,8.24766563,5.40E-10
znuABC-EtOH-adeABC-CHL,2.533103984,7.833760397,9.42E-09
adeABC-GLU-adeABC-CHL,2.694530246,7.995186659,3.11E-09
adeIJK-GLU-adeABC-CHL,2.676127199,7.976783612,3.53E-09
ttg2ABC-GLU-adeABC-CHL,3.108655732,8.409312145,1.71E-10
znuABC-GLU-adeABC-CHL,2.535176703,7.835833116,9.29E-09
adeABC-HClO-adeABC-CHL,2.756669627,8.057326041,2.03E-09
adeIJK-HClO-adeABC-CHL,2.586737419,7.887393832,6.52E-09
ttg2ABC-HClO-adeABC-CHL,3.113324649,8.413981062,1.65E-10
znuABC-HClO-adeABC-CHL,2.808423373,8.109079787,1.42E-09
adeABC-PVPi-adeABC-CHL,2.703512526,8.00416894,2.92E-09
adeIJK-PVPi-adeABC-CHL,2.793996017,8.09465243,1.57E-09
ttg2ABC-PVPi-adeABC-CHL,3.055360533,8.356016947,2.51E-10
znuABC-PVPi-adeABC-CHL,2.480154217,7.780810631,1.35E-08
adeABC-TRC-adeABC-CHL,1.679715014,6.980371427,2.95E-06
ttg2ABC-TRC-adeABC-CHL,1.529293435,6.829949849,7.90E-06
znuABC-TRC-adeABC-CHL,1.863204302,7.163860715,8.77E-07
ttg2ABC-CHL-adeIJK-CHL,1.427773193,6.728429606,1.52E-05
znuABC-CHL-adeIJK-CHL,3.620876634,8.921533048,0
adeABC-CRL-adeIJK-CHL,1.280767722,6.581424135,3.89E-05
ttg2ABC-CRL-adeIJK-CHL,0.670978111,5.971634525,0.001556353
znuABC-CRL-adeIJK-CHL,1.086462578,6.387118991,0.000130986
adeABC-CTAB-adeIJK-CHL,1.148886888,6.449543302,8.90E-05
adeIJK-CTAB-adeIJK-CHL,1.596832341,6.897488754,5.09E-06
ttg2ABC-CTAB-adeIJK-CHL,2.80221704,8.102873453,1.48E-09
znuABC-CTAB-adeIJK-CHL,1.839220918,7.139877331,1.03E-06
adeABC-EtOH-adeIJK-CHL,1.761942549,7.062598962,1.72E-06
adeIJK-EtOH-adeIJK-CHL,1.699485428,7.000141841,2.59E-06
ttg2ABC-EtOH-adeIJK-CHL,1.803183211,7.103839625,1.31E-06
znuABC-EtOH-adeIJK-CHL,1.389277978,6.689934392,1.95E-05
adeABC-GLU-adeIJK-CHL,1.550704241,6.851360654,6.87E-06
adeIJK-GLU-adeIJK-CHL,1.532301194,6.832957607,7.74E-06
ttg2ABC-GLU-adeIJK-CHL,1.964829727,7.26548614,4.45E-07
znuABC-GLU-adeIJK-CHL,1.391350698,6.692007111,1.92E-05
adeABC-HClO-adeIJK-CHL,1.612843622,6.913500035,4.58E-06
adeIJK-HClO-adeIJK-CHL,1.442911414,6.743567827,1.38E-05
ttg2ABC-HClO-adeIJK-CHL,1.969498643,7.270155057,4.31E-07
znuABC-HClO-adeIJK-CHL,1.664597368,6.965253781,3.26E-06
adeABC-PVPi-adeIJK-CHL,1.559686521,6.860342934,6.48E-06
adeIJK-PVPi-adeIJK-CHL,1.650170012,6.950826425,3.59E-06
ttg2ABC-PVPi-adeIJK-CHL,1.911534528,7.212190941,6.36E-07
znuABC-PVPi-adeIJK-CHL,1.336328212,6.636984625,2.73E-05
adeABC-TRC-adeIJK-CHL,0.535889008,5.836545422,0.003327251
ttg2ABC-TRC-adeIJK-CHL,0.38546743,5.686123843,0.007509784
znuABC-TRC-adeIJK-CHL,0.719378297,6.02003471,0.001178397
adeIJK-CRL-znuABC-CHL,-7.26918462,-1.968528207,4.34E-07
ttg2ABC-CRL-znuABC-CHL,-5.60022673,-0.299570316,0.011753216
adeABC-TRC-znuABC-CHL,-5.735315833,-0.434659419,0.005777494
adeIJK-TRC-znuABC-CHL,-7.437022501,-2.136366088,1.40E-07
ttg2ABC-TRC-znuABC-CHL,-5.885737411,-0.585080998,0.00253052
znuABC-TRC-znuABC-CHL,-5.551826544,-0.251170131,0.015038157
ttg2ABC-CTAB-adeIJK-CRL,1.149868612,6.450525026,8.84E-05
znuABC-CTAB-adeIJK-CRL,0.18687249,5.487528904,0.020717496
adeABC-EtOH-adeIJK-CRL,0.109594121,5.410250534,0.030107546
adeIJK-EtOH-adeIJK-CRL,0.047137,5.347793414,0.040337765
ttg2ABC-EtOH-adeIJK-CRL,0.150834784,5.451491197,0.024701751
ttg2ABC-GLU-adeIJK-CRL,0.312481299,5.613137712,0.010997231
ttg2ABC-HClO-adeIJK-CRL,0.317150216,5.617806629,0.010735184
znuABC-HClO-adeIJK-CRL,0.01224894,5.312905354,0.047310705
ttg2ABC-PVPi-adeIJK-CRL,0.2591861,5.559842514,0.014441105
adeIJK-TRC-adeIJK-CTAB,-5.412978208,-0.112321794,0.029719426
adeIJK-TRC-ttg2ABC-CTAB,-6.618362907,-1.317706493,3.08E-05
adeIJK-TRC-znuABC-CTAB,-5.655366785,-0.354710371,0.008829417
adeIJK-TRC-adeABC-EtOH,-5.578088415,-0.277432002,0.013162973
adeIJK-TRC-adeIJK-EtOH,-5.515631295,-0.214974881,0.018028626
adeIJK-TRC-ttg2ABC-EtOH,-5.619329078,-0.318672665,0.010651002
adeIJK-TRC-adeABC-GLU,-5.366850107,-0.066193694,0.036928456
adeIJK-TRC-adeIJK-GLU,-5.34844706,-0.047790647,0.040216335
adeIJK-TRC-ttg2ABC-GLU,-5.780975593,-0.48031918,0.00451335
adeIJK-TRC-adeABC-HClO,-5.428989489,-0.128333075,0.027530925
adeIJK-TRC-ttg2ABC-HClO,-5.78564451,-0.484988097,0.0044
adeIJK-TRC-znuABC-HClO,-5.480743235,-0.180086821,0.021419569
adeIJK-TRC-adeABC-PVPi,-5.375832388,-0.075175974,0.035412652
adeIJK-TRC-adeIJK-PVPi,-5.466315878,-0.165659465,0.022985077
adeIJK-TRC-ttg2ABC-PVPi,-5.727680395,-0.427023981,0.006019089
